x,y,yaw,speed
0.187948,1.696823,2.302236,0.400000
0.106419,1.788091,2.301036,0.400000
0.023216,1.880523,2.301995,0.400000
-0.048008,1.959908,2.302016,0.400000
-0.137314,2.059379,2.302101,0.400000
-0.221439,2.154978,2.300462,0.400000
-0.310799,2.249829,2.304311,0.400000
-0.392026,2.335142,2.307703,0.400000
-0.471264,2.416919,2.311445,0.400000
-0.556231,2.482775,2.331744,0.400000
-0.673357,2.559351,2.364806,0.400000
-0.765850,2.626918,2.378632,0.400000
-0.876321,2.696096,2.402719,0.400000
-0.962763,2.753292,2.422854,0.400000
-1.059087,2.803201,2.448406,0.400000
-1.141747,2.873277,2.452203,0.400000
-1.235966,2.946973,2.454782,0.400000
-1.328555,3.019681,2.456589,0.400000
-1.439099,3.083478,2.474302,0.400000
-1.523939,3.169625,2.455722,0.400000
-1.627418,3.214870,2.469448,0.400000
-1.728399,3.273288,2.477119,0.400000
-1.819146,3.332847,2.486311,0.400000
-1.879414,3.431215,2.465655,0.400000
-1.959258,3.517227,2.449820,0.400000
-2.047113,3.581549,2.438683,0.400000
-2.139382,3.644776,2.440573,0.400000
-2.214676,3.756651,2.427072,0.400000
-2.276544,3.840041,2.417850,0.400000
-2.357114,3.907388,2.416039,0.400000
-2.442304,3.994042,2.418886,0.400000
-2.555000,4.067659,2.427725,0.400000
-2.652753,4.163032,2.432845,0.400000
-2.764276,4.208507,2.449744,0.400000
-2.859782,4.276034,2.455985,0.400000
-2.927090,4.376518,2.448435,0.400000
-2.930452,4.502195,2.412449,0.400000
-2.997368,4.584682,2.404504,0.400000
-3.076485,4.652507,2.403425,0.400000
-3.164096,4.745347,2.411586,0.400000
-3.257254,4.812056,2.485653,0.400000
-3.370815,4.825252,2.586689,0.400000
-3.468284,4.796190,2.673023,0.400000
-3.524573,4.909984,2.829019,0.400000
-3.669904,4.890002,2.973094,0.400000
-3.670308,5.062972,3.037964,0.400000
-3.749647,5.129760,-3.138375,0.400000
-3.803781,5.251298,-3.131192,0.400000
-3.933176,5.246420,-3.105900,0.400000
-4.044904,5.265980,-2.983839,0.400000
-3.904037,5.683135,-3.000102,0.400000
-3.997126,5.724675,-2.996074,0.400000
-4.112883,5.698173,-2.996992,0.400000
-4.221638,5.702904,-3.005989,0.400000
-4.321455,5.677069,-2.999679,0.400000
-4.459848,5.661716,-3.004345,0.400000
-4.557392,5.617862,-2.981933,0.400000
-4.657963,5.631882,-2.987907,0.400000
-5.398595,3.670052,-2.478872,0.400000
-5.494158,3.583254,-2.345519,0.400000
-5.576275,3.490836,-2.225533,0.400000
-5.657445,3.374084,-2.083975,0.400000
-5.709130,3.261170,-1.948154,0.400000
-5.760752,3.161136,-1.848823,0.400000
-5.787067,3.062832,-1.748135,0.400000
-5.797173,2.945118,-1.621100,0.400000
-5.793128,2.829384,-1.557983,0.400000
-5.791133,2.703071,-1.553680,0.400000
-5.782496,2.573441,-1.496500,0.400000
-5.751837,2.454197,-1.345110,0.400000
-5.720524,2.329523,-1.214565,0.400000
-5.668821,2.211841,-1.193672,0.400000
-5.596016,2.114345,-1.172087,0.400000
-5.497310,2.019175,-1.102361,0.400000
-5.425390,1.932658,-1.021046,0.400000
-5.341836,1.838626,-1.014127,0.400000
-5.268847,1.745074,-1.005313,0.400000
-5.175748,1.646327,-0.983123,0.400000
-5.078554,1.559329,-0.952648,0.400000
-4.996825,1.477022,-0.938900,0.400000
-4.912822,1.402783,-0.914614,0.400000
-4.838139,1.325993,-0.902381,0.400000
-4.757432,1.261106,-0.877179,0.400000
-4.665402,1.197074,-0.849633,0.400000
-4.575266,1.116605,-0.845586,0.400000
-4.496037,1.032915,-0.842059,0.400000
-4.387629,0.953087,-0.824767,0.400000
-4.292862,0.869954,-0.816897,0.400000
-4.192845,0.784654,-0.815167,0.400000
-4.111855,0.709849,-0.795519,0.400000
-4.033789,0.629163,-0.788394,0.400000
-3.929227,0.552617,-0.804567,0.400000
-3.824644,0.478406,-0.910500,0.400000
-3.735121,0.399482,-0.919696,0.400000
-3.650611,0.335411,-0.903324,0.400000
-3.556991,0.247361,-0.876701,0.400000
-3.464682,0.172213,-0.867218,0.400000
-3.387731,0.101176,-0.855682,0.400000
-3.304415,0.024223,-0.851232,0.400000
-3.197199,-0.065467,-0.832781,0.400000
-3.113108,-0.164899,-0.836496,0.400000
-3.029153,-0.276263,-0.844957,0.400000
-2.951607,-0.370133,-0.844767,0.400000
-2.881238,-0.465559,-0.854087,0.400000
-2.806129,-0.562363,-0.859357,0.400000
-2.727991,-0.649576,-0.855753,0.400000
-2.647069,-0.730705,-0.844143,0.400000
-2.565268,-0.807373,-0.824907,0.400000
-2.471918,-0.861643,-0.788154,0.400000
-2.365334,-0.897637,-0.733944,0.400000
-2.274998,-0.954275,-0.718910,0.400000
-2.186934,-1.029274,-0.716149,0.400000
-2.096955,-1.102765,-0.714489,0.400000
-2.004198,-1.166966,-0.704014,0.400000
-1.912335,-1.236911,-0.622619,0.400000
-1.804966,-1.302426,-0.487118,0.400000
-1.696656,-1.352741,-0.355503,0.400000
-1.581958,-1.375468,-0.216386,0.400000
-1.455595,-1.389448,-0.072203,0.400000
-1.331341,-1.385424,0.066600,0.400000
-1.215265,-1.393053,0.180736,0.400000
-1.101104,-1.367735,0.310616,0.400000
-0.989012,-1.312414,0.465142,0.400000
-0.899347,-1.247938,0.591081,0.400000
-0.800657,-1.153827,0.737411,0.400000
-0.718074,-1.061987,0.862147,0.400000
-0.661203,-0.976716,0.979473,0.400000
-0.586470,-0.871563,1.096136,0.400000
-0.524302,-0.763903,1.097084,0.400000
-0.468733,-0.662789,1.089514,0.400000
-0.405886,-0.547297,1.086641,0.400000
-0.344099,-0.437603,1.084673,0.400000
-0.294527,-0.329910,1.153390,0.400000
-0.251208,-0.214819,1.291214,0.400000
-0.217424,-0.102902,1.358226,0.400000
-0.197762,0.008867,1.353979,0.400000
-0.149219,0.105766,1.335282,0.400000
-0.107259,0.209213,1.440679,0.400000
-0.064841,0.307847,1.525440,0.400000
-0.022876,0.416697,1.487310,0.400000
0.012085,0.511831,1.452625,0.400000
0.037478,0.620075,1.440315,0.400000
0.066748,0.727579,1.417675,0.400000
0.106875,0.844356,1.389634,0.400000
0.171117,0.944616,1.409825,0.400000
0.221049,1.035445,1.483089,0.400000
0.251642,1.155710,1.595044,0.400000
0.259150,1.277948,1.693986,0.400000
0.278360,1.383631,1.688511,0.400000
0.211701,1.465127,1.713718,0.400000
0.144707,1.386381,1.768054,0.400000
