x,y,yaw,speed
-0.858759,0.575089,-2.611173,0.400000
-0.969380,0.510101,-2.607599,0.400000
-1.140781,0.408316,-2.600063,0.400000
-1.360725,0.273606,-2.585746,0.400000
-1.459592,0.212183,-2.581194,0.400000
-1.609978,0.117436,-2.576565,0.400000
-1.742758,0.033155,-2.574612,0.400000
-1.933653,-0.089109,-2.571626,0.400000
-2.063480,-0.173017,-2.570626,0.400000
-2.255384,-0.295804,-2.569968,0.400000
-2.365735,-0.366774,-2.569739,0.400000
-2.526512,-0.470260,-2.569601,0.400000
-2.635314,-0.540307,-2.569550,0.400000
-2.791801,-0.641066,-2.569502,0.400000
-2.891491,-0.705190,-2.569530,0.400000
-3.031476,-0.797820,-2.569219,0.400000
-3.121436,-0.854050,-2.569526,0.400000
-3.263171,-0.939069,-2.571658,0.400000
-3.486614,-1.081234,-2.552450,0.400000
-3.580609,-1.132225,-2.536656,0.400000
-3.710893,-1.225914,-2.494011,0.400000
-3.868199,-1.406981,-2.381719,0.400000
-3.942786,-1.481080,-2.333305,0.400000
-4.035349,-1.603137,-2.253973,0.400000
-4.100508,-1.682007,-2.183510,0.400000
-4.089087,-1.793478,-2.099426,0.400000
-4.117572,-2.042685,-1.887838,0.400000
-4.079537,-2.184201,-1.757233,0.400000
-4.051718,-2.344081,-1.589192,0.400000
-4.006783,-2.472169,-1.447893,0.400000
-3.973200,-2.569861,-1.355082,0.400000
-3.881857,-2.691927,-1.221793,0.400000
-3.772823,-2.837898,-1.053648,0.400000
-3.618518,-2.957281,-0.912726,0.400000
-3.510810,-3.069420,-0.811242,0.400000
-3.437816,-3.172151,-0.704844,0.400000
-3.338914,-3.262399,-0.593511,0.400000
-3.243947,-3.332731,-0.502064,0.400000
-3.134192,-3.427834,-0.414590,0.400000
-3.010943,-3.526626,-0.328385,0.400000
-2.915728,-3.629268,-0.261769,0.400000
-2.833825,-3.745959,-0.210323,0.400000
-2.703131,-3.834744,-0.125531,0.400000
-2.544460,-3.877139,-0.030268,0.400000
-2.320032,-3.821244,0.091314,0.400000
-2.121533,-3.751793,0.167695,0.400000
-1.965522,-3.727955,0.179674,0.400000
-1.858619,-3.728827,0.174213,0.400000
-1.679476,-3.691636,0.173857,0.400000
-1.527518,-3.635758,0.182665,0.400000
-1.410415,-3.596397,0.186927,0.400000
-1.214793,-3.518925,0.198056,0.400000
-1.068336,-3.442968,0.210751,0.400000
-0.871075,-3.389821,0.202890,0.400000
-0.643896,-3.272616,0.199467,0.400000
-0.472618,-3.205364,0.181631,0.400000
-0.265816,-3.145027,0.153486,0.400000
0.013475,-3.095758,0.103958,0.400000
0.206893,-3.105542,0.055106,0.400000
0.473691,-3.048382,0.008796,0.400000
0.655629,-2.993009,-0.011786,0.400000
0.921419,-2.952535,-0.048306,0.400000
1.144696,-2.899287,-0.070158,0.400000
1.327025,-2.867168,-0.084005,0.400000
1.440156,-2.810199,-0.078508,0.400000
1.642713,-2.710184,-0.032464,0.400000
1.802366,-2.628630,0.021311,0.400000
1.884363,-2.527195,0.075693,0.400000
1.981604,-2.440551,0.138018,0.400000
2.093289,-2.318330,0.243326,0.400000
2.149508,-2.171615,0.367568,0.400000
2.254842,-2.059539,0.545124,0.400000
2.321149,-1.919512,0.693646,0.400000
2.392442,-1.761841,0.873260,0.400000
2.463061,-1.501997,1.157148,0.400000
2.448051,-1.319425,1.291038,0.400000
2.413866,-1.119999,1.465839,0.400000
2.318556,-0.876803,1.649576,0.400000
2.222126,-0.634680,1.814376,0.400000
2.072162,-0.425635,1.977686,0.400000
1.878691,-0.239036,2.166738,0.400000
1.760922,-0.125399,2.268761,0.400000
1.519737,-0.045802,2.343578,0.400000
1.381350,0.054153,2.235939,0.400000
1.397662,0.157965,1.990339,0.400000
1.542729,0.273385,1.729565,0.400000
1.767585,0.411557,1.451275,0.400000
1.873635,0.464908,1.337899,0.400000
2.068863,0.541361,1.192132,0.400000
2.162918,0.607242,1.163088,0.400000
2.366841,0.671764,1.092631,0.400000
2.487403,0.709939,1.049519,0.400000
2.574012,0.771615,1.025832,0.400000
2.740439,0.838016,0.971387,0.400000
2.937274,0.795804,0.867000,0.400000
3.062456,0.745788,0.784281,0.400000
2.962173,0.706602,0.873288,0.400000
2.864872,0.627203,0.967573,0.400000
2.853471,0.511469,0.943059,0.400000
2.865776,0.378397,0.864774,0.400000
