
0.396254,-0.125437,-2.862066,0.400000
0.334536,-0.143152,-2.862066,0.400000
0.222403,-0.169394,-2.865889,0.400000
0.160093,-0.187022,-2.865889,0.400000
0.097986,-0.204593,-2.865889,0.400000
0.004622,-0.231006,-2.865889,0.400000
-0.087816,-0.257158,-2.865889,0.400000
-0.149464,-0.274599,-2.865889,0.400000
-0.241161,-0.300540,-2.865889,0.400000
-0.302256,-0.317825,-2.865889,0.400000
-0.394030,-0.343788,-2.865889,0.400000
-0.447321,-0.358865,-2.865889,0.400000
-0.534338,-0.394945,-2.858643,0.400000
-0.608602,-0.405054,-2.863783,0.400000
-0.685627,-0.443207,-2.853678,0.400000
-0.733196,-0.465827,-2.852199,0.400000
-0.820879,-0.489754,-2.854856,0.400000
-0.913402,-0.554954,-2.843359,0.400000
-0.908943,-0.623451,-2.816351,0.400000
-0.988591,-0.655922,-2.816469,0.400000
-1.054581,-0.677033,-2.813867,0.400000
-1.176309,-0.686384,-2.820240,0.400000
-1.271474,-0.686448,-2.827909,0.400000
-1.391672,-0.694449,-2.838120,0.400000
-1.448249,-0.709312,-2.838834,0.400000
-1.491113,-0.750603,-2.834061,0.400000
-1.548215,-0.797389,-2.837362,0.400000
-1.643096,-0.823722,-2.848361,0.400000
-1.757530,-0.893059,-2.836925,0.400000
-1.809700,-0.922693,-2.830241,0.400000
-1.882971,-1.009260,-2.802551,0.400000
-1.932988,-1.091215,-2.774856,0.400000
-2.012700,-1.186603,-2.747810,0.400000
-2.064407,-1.278096,-2.718544,0.400000
-2.122279,-1.371197,-2.690517,0.400000
-2.165852,-1.424634,-2.679092,0.400000
-2.247858,-1.520480,-2.659492,0.400000
-2.300727,-1.578121,-2.647456,0.400000
-2.379873,-1.656042,-2.634929,0.400000
-2.428964,-1.681857,-2.636617,0.400000
-2.489976,-1.756486,-2.620269,0.400000
-2.530348,-1.815490,-2.606476,0.400000
-2.618897,-1.903109,-2.595416,0.400000
-2.692190,-1.973128,-2.589851,0.400000
-2.785502,-2.058419,-2.558280,0.400000
-2.851964,-2.105014,-2.502541,0.400000
-2.928450,-2.185378,-2.414278,0.400000
-2.978554,-2.225810,-2.369111,0.400000
-3.049108,-2.292603,-2.279974,0.400000
-3.083231,-2.343007,-2.223183,0.400000
-3.138744,-2.433885,-2.136391,0.400000
-3.167261,-2.490625,-2.080436,0.400000
-3.202794,-2.560924,-2.000287,0.400000
-3.205954,-2.624930,-1.937314,0.400000
-3.217865,-2.727247,-1.843213,0.400000
-3.242393,-2.795485,-1.788484,0.400000
-3.301724,-2.874108,-1.723632,0.400000
-3.339246,-2.949311,-1.673169,0.400000
-3.387606,-3.060215,-1.592514,0.400000
-3.412046,-3.144941,-1.534015,0.400000
-3.419844,-3.255845,-1.446553,0.400000
-3.416964,-3.317310,-1.391981,0.400000
-3.405451,-3.399328,-1.316100,0.400000
-3.379306,-3.454342,-1.260747,0.400000
-3.317102,-3.538969,-1.170977,0.400000
-3.264692,-3.585003,-1.115348,0.400000
-3.152815,-3.637873,-1.027860,0.400000
-3.099037,-3.658624,-0.983552,0.400000
-3.020085,-3.699004,-0.911152,0.400000
-2.957900,-3.722680,-0.858031,0.400000
-2.835313,-3.752508,-0.764448,0.400000
-2.760844,-3.773356,-0.708518,0.400000
-2.656123,-3.791968,-0.625517,0.400000
-2.594436,-3.799669,-0.570961,0.400000
-2.501492,-3.817758,-0.488257,0.400000
-2.407650,-3.845238,-0.416341,0.400000
-2.243168,-3.858047,-0.290699,0.400000
-2.129452,-3.856340,-0.202795,0.400000
-1.948794,-3.836370,-0.059771,0.400000
-1.837002,-3.820231,0.030334,0.400000
-1.697673,-3.774163,0.149238,0.400000
-1.646026,-3.746871,0.200088,0.400000
-1.559451,-3.653202,0.298247,0.400000
-1.502054,-3.574789,0.364017,0.400000
-1.426181,-3.468830,0.456174,0.400000
-1.359785,-3.363918,0.537175,0.400000
-1.278860,-3.236951,0.582920,0.400000
-1.220861,-3.142004,0.608057,0.400000
-1.142352,-2.998632,0.646756,0.400000
-1.105705,-2.901908,0.672189,0.400000
-1.058830,-2.762416,0.710718,0.400000
-1.033953,-2.672241,0.731960,0.400000
-0.996834,-2.544118,0.761860,0.400000
-0.974289,-2.469498,0.724483,0.400000
-0.932869,-2.343932,0.678955,0.400000
-0.905792,-2.272994,0.641980,0.400000
-0.867913,-2.175366,0.586513,0.400000
-0.837357,-2.108545,0.553303,0.400000
-0.792443,-2.011412,0.505389,0.400000
-0.763066,-1.957220,0.469251,0.400000
-0.702668,-1.900960,0.403045,0.400000
-0.681573,-1.835130,0.431611,0.400000
-0.632401,-1.750346,0.464483,0.400000
-0.576048,-1.643782,0.500161,0.400000
-0.526390,-1.610423,0.504498,0.400000
-0.488974,-1.530838,0.534291,0.400000
-0.370944,-1.484406,0.528976,0.400000
-0.322301,-1.466878,0.524673,0.400000
-0.195626,-1.485120,0.487907,0.400000
-0.053496,-1.482042,0.457521,0.400000
0.011240,-1.498807,0.442272,0.400000
0.103587,-1.517080,0.417766,0.400000
0.174598,-1.509783,0.407948,0.400000
0.299738,-1.528610,0.379039,0.400000
0.343372,-1.496063,0.384969,0.400000
0.420299,-1.444753,0.461760,0.400000
0.495754,-1.342735,0.612901,0.400000
0.536208,-1.286976,0.677154,0.400000
0.602226,-1.197777,0.768306,0.400000
0.651910,-1.147378,0.819002,0.400000
0.707110,-1.063887,0.904150,0.400000
0.738608,-1.005629,0.963783,0.400000
0.791936,-0.921622,1.045664,0.400000
0.797643,-0.851454,1.114660,0.400000
0.808275,-0.724204,1.223371,0.400000
0.814949,-0.647996,1.290198,0.400000
0.796080,-0.512701,1.403428,0.400000
0.790884,-0.443561,1.463794,0.400000
0.774076,-0.339463,1.554041,0.400000
0.762939,-0.269611,1.612122,0.400000
0.748813,-0.156942,1.701289,0.400000
0.725473,-0.092699,1.760473,0.400000
0.713495,0.026979,1.849051,0.400000
0.691121,0.103017,1.909000,0.400000
0.654469,0.214893,2.005402,0.400000
0.634030,0.296327,2.073614,0.400000
0.611679,0.406705,2.164067,0.400000
0.590523,0.467123,2.219232,0.400000
0.527732,0.548612,2.308541,0.400000
0.485657,0.590921,2.308052,0.400000
0.434279,0.645920,2.305586,0.400000
0.384563,0.705590,2.296813,0.400000
0.352639,0.650385,2.296239,0.400000
0.354426,0.595434,2.302886,0.400000
0.337469,0.522472,2.303884,0.400000
0.319036,0.470607,2.321826,0.400000
0.283891,0.376505,2.355736,0.400000
0.263613,0.306964,2.386457,0.400000
0.246947,0.240938,2.424213,0.400000
0.252456,0.174747,2.472988,0.400000
0.272059,0.126556,2.520130,0.400000
