x,y,yaw,speed
1.480985,-1.359111,-2.459578,0.400000
1.379755,-1.439820,-2.471895,0.400000
1.299440,-1.519164,-2.489921,0.400000
1.206219,-1.590277,-2.489921,0.400000
1.166282,-1.620743,-2.489921,0.400000
1.107112,-1.665880,-2.489921,0.400000
1.056563,-1.704441,-2.489921,0.400000
0.985539,-1.758622,-2.489921,0.400000
0.936363,-1.796136,-2.489921,0.400000
0.859402,-1.854846,-2.489921,0.400000
0.806482,-1.895215,-2.489921,0.400000
0.728677,-1.954054,-2.522645,0.400000
0.673813,-1.991954,-2.584021,0.400000
0.585879,-2.043049,-2.645750,0.400000
0.530341,-2.073090,-2.645750,0.400000
0.424509,-2.124609,-2.656425,0.400000
0.314984,-2.233263,-2.663786,0.400000
0.191665,-2.388750,-2.658290,0.400000
0.084513,-2.457576,-2.655313,0.400000
-0.033410,-2.536235,-2.651815,0.400000
-0.113014,-2.585413,-2.649118,0.400000
-0.194788,-2.636198,-2.646563,0.400000
-0.323458,-2.699666,-2.648503,0.400000
-0.397017,-2.746514,-2.655147,0.400000
-0.554995,-2.843223,-2.718584,0.400000
-0.694231,-2.916901,-2.784400,0.400000
-0.817804,-2.982543,-2.810691,0.400000
-0.908196,-3.027478,-2.809542,0.400000
-1.031780,-3.078936,-2.807857,0.400000
-1.093461,-3.109743,-2.802378,0.400000
-1.163630,-3.145287,-2.794644,0.400000
-1.217106,-3.199146,-2.777513,0.400000
-1.285836,-3.298918,-2.742637,0.400000
-1.346440,-3.363148,-2.724150,0.400000
-1.413038,-3.436738,-2.703440,0.400000
-1.476402,-3.478548,-2.699435,0.400000
-1.533166,-3.510025,-2.695512,0.400000
-1.592942,-3.531141,-2.695737,0.400000
-1.672379,-3.574091,-2.718816,0.400000
-1.727657,-3.593020,-2.788069,0.400000
-1.777807,-3.615811,-2.842566,0.400000
-1.850408,-3.669482,-2.954648,0.400000
-1.909076,-3.742169,-3.001993,0.400000
-1.958675,-3.693073,-3.098835,0.400000
-2.075727,-3.690314,-3.094285,0.400000
-2.190962,-3.686339,-3.090054,0.400000
-2.255338,-3.698172,-3.084558,0.400000
-2.343117,-3.691881,-3.093582,0.400000
-2.412482,-3.702859,-3.132294,0.400000
-2.498782,-3.719289,3.094934,0.400000
-2.548418,-3.726592,3.058598,0.400000
-2.626902,-3.730848,3.001967,0.400000
-2.678341,-3.730108,2.964551,0.400000
-2.759128,-3.734261,2.899630,0.400000
-2.840872,-3.755466,2.844945,0.400000
-2.898103,-3.779114,2.806069,0.400000
-3.022733,-3.802761,2.716530,0.400000
-3.100622,-3.822824,2.672257,0.400000
-3.153531,-3.799679,2.617809,0.400000
-3.202175,-3.781543,2.569596,0.400000
-3.264892,-3.716462,2.482671,0.400000
-3.300384,-3.662706,2.420075,0.400000
-3.361899,-3.552619,2.307198,0.400000
-3.389676,-3.479645,2.239169,0.400000
-3.429549,-3.350399,2.122393,0.400000
-3.448276,-3.275100,2.108019,0.400000
-3.478948,-3.150101,2.083734,0.400000
-3.496458,-3.081631,2.072065,0.400000
-3.551041,-3.014883,2.080983,0.400000
-3.606793,-2.960073,2.092513,0.400000
-3.656548,-2.908945,2.096698,0.400000
-3.703175,-2.865191,2.101344,0.400000
-3.771730,-2.801159,2.037403,0.400000
-3.818209,-2.753670,1.990250,0.400000
-3.880234,-2.678146,1.922199,0.400000
-3.910445,-2.622007,1.869008,0.400000
-3.981577,-2.551711,1.805567,0.400000
-4.031486,-2.478473,1.739778,0.400000
-4.059369,-2.424007,1.690094,0.400000
-4.075570,-2.363302,1.635502,0.400000
-4.086114,-2.287175,1.564914,0.400000
-4.084300,-2.215109,1.499968,0.400000
-4.074567,-2.118357,1.410495,0.400000
-4.065218,-2.055330,1.352902,0.400000
-4.041904,-1.966072,1.268361,0.400000
-4.014677,-1.913845,1.209746,0.400000
-3.961546,-1.818083,1.111021,0.400000
-3.919843,-1.766526,1.051127,0.400000
-3.816319,-1.682614,0.934726,0.400000
-3.767739,-1.638849,0.876405,0.400000
-3.657610,-1.578707,0.767450,0.400000
-3.597808,-1.542889,0.703834,0.400000
-3.506187,-1.482193,0.637721,0.400000
