x,y,yaw,speed
-0.514972,0.276323,0.614809,0.400000
-0.566610,0.247991,0.626231,0.400000
-0.525702,0.277582,0.626231,0.400000
-0.478473,0.311745,0.626231,0.400000
-0.385981,0.378650,0.626231,0.400000
-0.286036,0.450946,0.626231,0.400000
-0.242242,0.482625,0.626231,0.400000
-0.172913,0.532775,0.626231,0.400000
-0.124721,0.567635,0.626231,0.400000
-0.050779,0.621121,0.626231,0.400000
-0.000120,0.657766,0.626231,0.400000
0.077199,0.713695,0.626231,0.400000
0.129257,0.751352,0.626231,0.400000
0.208675,0.808800,0.626231,0.400000
0.261980,0.847358,0.626231,0.400000
0.342679,0.905733,0.626231,0.400000
0.396527,0.944684,0.597573,0.400000
0.313755,0.945577,0.236487,0.400000
0.366950,0.908115,0.231749,0.400000
0.361924,0.844426,0.220541,0.400000
0.428007,0.852070,0.237674,0.400000
0.490995,0.857627,0.107334,0.400000
0.603254,0.881647,-0.017237,0.400000
0.739904,0.892739,-0.147691,0.400000
0.794641,0.875489,-0.205755,0.400000
0.873441,0.862985,-0.283530,0.400000
0.928942,0.851822,-0.334679,0.400000
1.007302,0.867631,-0.393908,0.400000
1.066372,0.884625,-0.430314,0.400000
1.122083,0.916316,-0.471023,0.400000
1.168081,0.941861,-0.497836,0.400000
1.240705,0.936269,-0.559244,0.400000
1.342817,0.843801,-0.694076,0.400000
1.381267,0.777198,-0.762809,0.400000
1.436697,0.680300,-0.863245,0.400000
1.472362,0.613887,-0.921696,0.400000
1.519612,0.507552,-0.946887,0.400000
1.554963,0.455077,-0.948007,0.400000
1.611184,0.401084,-0.935616,0.400000
1.738162,0.348812,-0.895221,0.400000
1.806537,0.329882,-0.877615,0.400000
1.895351,0.289850,-0.858452,0.400000
1.951299,0.255569,-0.881304,0.400000
2.040378,0.216609,-0.938054,0.400000
2.091463,0.179995,-0.985216,0.400000
2.153388,0.104230,-1.066930,0.400000
2.186092,0.053235,-1.120344,0.400000
2.235160,-0.035813,-1.203353,0.400000
2.256866,-0.095121,-1.259820,0.400000
2.287216,-0.182622,-1.341578,0.400000
2.299737,-0.253103,-1.404067,0.400000
2.318342,-0.346632,-1.486038,0.400000
2.315816,-0.413813,-1.548648,0.400000
2.324006,-0.494490,-1.622810,0.400000
2.315723,-0.554488,-1.681076,0.400000
2.287943,-0.644754,-1.771531,0.400000
2.242065,-0.722438,-1.848072,0.400000
2.139926,-0.845405,-1.977962,0.400000
2.069248,-0.921906,-2.064690,0.400000
1.963583,-1.022414,-2.186544,0.400000
1.891733,-1.079445,-2.261041,0.400000
1.809123,-1.161295,-2.317259,0.400000
1.769384,-1.202800,-2.320484,0.400000
1.724803,-1.280709,-2.311216,0.400000
1.714375,-1.342358,-2.297697,0.400000
1.702448,-1.432002,-2.271724,0.400000
1.689636,-1.502869,-2.259234,0.400000
1.686206,-1.607217,-2.230862,0.400000
1.684346,-1.669328,-2.208518,0.400000
1.659997,-1.760365,-2.192302,0.400000
1.636508,-1.812770,-2.184986,0.400000
1.595942,-1.881649,-2.176755,0.400000
1.564802,-1.942539,-2.177148,0.400000
1.534824,-2.028194,-2.162043,0.400000
1.517883,-2.079150,-2.152434,0.400000
1.466740,-2.146798,-2.154251,0.400000
1.441241,-2.190584,-2.155723,0.400000
1.394327,-2.252925,-2.233746,0.400000
1.343558,-2.296956,-2.298361,0.400000
1.261458,-2.356176,-2.305069,0.400000
1.195390,-2.375642,-2.322905,0.400000
1.112448,-2.426732,-2.337702,0.400000
1.050809,-2.449013,-2.353183,0.400000
0.921866,-2.460202,-2.396299,0.400000
0.839126,-2.461297,-2.427944,0.400000
0.717337,-2.478214,-2.522069,0.400000
0.630964,-2.471201,-2.607010,0.400000
0.520455,-2.474476,-2.718929,0.400000
0.440965,-2.487966,-2.786542,0.400000
0.330527,-2.499001,-2.829032,0.400000
0.260220,-2.499934,-2.839424,0.400000
0.156200,-2.497469,-2.858694,0.400000
0.092372,-2.527190,-2.854738,0.400000
-0.005655,-2.552168,-2.857966,0.400000
-0.068917,-2.576566,-2.856510,0.400000
-0.157486,-2.605023,-2.857393,0.400000
-0.220863,-2.623318,-2.858192,0.400000
-0.287693,-2.681726,-2.837155,0.400000
-0.322148,-2.721197,-2.821310,0.400000
-0.387503,-2.791225,-2.795088,0.400000
-0.432138,-2.832940,-2.781092,0.400000
-0.504874,-2.875525,-2.774272,0.400000
-0.549883,-2.906949,-2.766136,0.400000
-0.613385,-2.949862,-2.755137,0.400000
-0.675340,-2.986454,-2.750148,0.400000
-0.764644,-3.064735,-2.729896,0.400000
-0.811514,-3.110226,-2.716861,0.400000
-0.883568,-3.214590,-2.685981,0.400000
-0.932332,-3.278348,-2.667169,0.400000
-1.038110,-3.383678,-2.644199,0.400000
-1.095287,-3.443314,-2.630867,0.400000
-1.195375,-3.489225,-2.636803,0.400000
-1.246853,-3.513187,-2.637836,0.400000
-1.320527,-3.547530,-2.639458,0.400000
-1.375765,-3.552022,-2.651398,0.400000
-1.448223,-3.588173,-2.654060,0.400000
-1.532543,-3.605390,-2.667698,0.400000
-1.597190,-3.602504,-2.683760,0.400000
-1.693586,-3.614836,-2.699503,0.400000
-1.756672,-3.644398,-2.695916,0.400000
-1.816445,-3.674438,-2.695303,0.400000
-1.915446,-3.722569,-2.691722,0.400000
-1.973033,-3.734401,-2.697427,0.400000
-2.061149,-3.760133,-2.755186,0.400000
-2.115603,-3.796752,-2.809560,0.400000
-2.207130,-3.841763,-2.884728,0.400000
-2.259844,-3.866708,-2.931850,0.400000
-2.345170,-3.886844,-3.011788,0.400000
-2.466774,-3.925154,-3.129957,0.400000
-2.527740,-3.925359,3.100038,0.400000
-2.617198,-3.932645,3.025139,0.400000
-2.681805,-3.924868,2.967618,0.400000
-2.760551,-3.929003,2.898198,0.400000
-2.873297,-3.937981,2.793641,0.400000
-2.936151,-3.927018,2.739724,0.400000
-3.024695,-3.890542,2.659486,0.400000
-3.079443,-3.875080,2.609112,0.400000
-3.151987,-3.829871,2.523785,0.400000
-3.250489,-3.773482,2.461963,0.400000
-3.367901,-3.715221,2.479736,0.400000
-3.479733,-3.723017,2.539255,0.400000
-3.530481,-3.716662,2.554229,0.400000
-3.619485,-3.742440,2.599022,0.400000
-3.679854,-3.753434,2.608096,0.400000
-3.769221,-3.735894,2.543791,0.400000
-3.822418,-3.725838,2.503628,0.400000
-3.902245,-3.701538,2.442062,0.400000
-3.948517,-3.678795,2.396119,0.400000
-4.018141,-3.639578,2.328628,0.400000
-4.052803,-3.598175,2.274403,0.400000
-4.121829,-3.534345,2.197599,0.400000
-4.159103,-3.494718,2.149816,0.400000
-4.202664,-3.412350,2.064443,0.400000
-4.231511,-3.356714,2.009001,0.400000
-4.271548,-3.266764,1.924920,0.400000
-4.298952,-3.188956,1.859910,0.400000
-4.326952,-3.078176,1.764447,0.400000
-4.310704,-2.991698,1.685594,0.400000
-4.276753,-2.863325,1.572015,0.400000
-4.249858,-2.794033,1.502889,0.400000
-4.209987,-2.681284,1.397620,0.400000
